id,name_pl,lon,lat
67232,Uścieniec-Kolonia,21.49174,51.81600
67293,Langanki,21.40301,54.00642
67367,Nowiniki,23.24710,54.20819
67776,Miechowice,18.83435,52.63378
68284,Czastary-Stacja,18.33231,51.27028
68342,Straszewo,15.95626,52.85735
68386,Galiny Duże,20.59391,51.84165
73012,Sępopolski Dwór,20.99800,54.30059
73062,Las Hulaski,20.68579,51.60130
107,Zabierzów,19.80253,50.11420
534,Ciężkowice,20.97665,49.78497
551,Kościelisko,19.88879,49.29076
638,Sandomierz,21.75749,50.67605
1035,Aleksandrów,19.98209,51.26759
1643,Chmielnik,22.14753,49.97471
2123,Kobylanka,14.87643,53.35706
2174,Banie Mazurskie,22.04535,54.24490
2281,Kamienica Polska,19.15319,50.68358
3010,Kulesze Kościelne,22.51629,53.01698
5121,Czarny Młyn,18.29770,54.80776
8931,Strzeniówka,20.79720,52.11865
9466,Płonina,16.00477,50.90412
10139,Wójtowo,20.60062,53.78881
10623,Drzewiany,16.68748,53.99222
12860,Rydzewo,15.82656,53.61418
13047,Wąsosz,17.73388,52.94775
13062,Michrów,20.79451,51.93675
14862,Zazdrość,20.45492,52.01655
15124,Kleosin,23.11793,53.09688
15340,Sławutówko,18.36580,54.66189
16601,Krakuszowice,20.22496,49.94603
20469,Antoniew,19.34636,51.78942
20565,Mąkowarsko,17.81385,53.40608
20865,Czerna,15.35724,51.22317
21530,Tarnawa,20.29655,49.85907
22018,Stanisławowo,23.20511,53.07781
22167,Tyłowo,18.12618,54.71341
23252,Niemysłów,18.81697,51.86774
23836,Tarnawce,22.68336,49.79068
24235,Anielin,21.91982,50.93131
24478,Zaścianki k. Bogusz,23.52562,53.37044
24961,Podlesie,20.99627,50.53963
25019,Godziszów,18.75973,49.76007
25484,Gryzikamień,21.25035,50.70399
25572,Witkowo,20.13320,52.76757
25806,Gruda,19.85758,53.62320
25889,Sypin,19.44917,52.01893
25979,Borowina,21.88493,51.51627
26025,Żelazo,18.32457,51.39097
26775,Borowina,17.56983,51.66977
26804,Dziedzinek,17.75372,53.38915
26914,Noskowo,16.81677,54.38943
26942,Goszczyna,17.19292,50.86717
27015,Kocerany,20.82432,51.93807
27230,Kępa,19.36177,51.42722
27289,Kolonia Bobrowska Wola,19.88366,50.97170
27733,Motycz Leśny,22.35292,51.24141
27742,Cekanów,19.99634,51.57578
27879,Jeżewice,17.99079,52.97082
27995,Wolkowo,16.64254,51.92395
28297,Sydzyna,21.17203,50.46611
29298,Dąbrowiec,19.90291,50.39856
29357,Zapceń,17.47850,53.99296
29476,Grabnik,21.39452,53.08982
29674,Dziupla,16.50308,53.91182
29730,Spaliny Wielkie,21.48246,53.48418
29893,Śladków Rozlazły,19.40513,52.01067
30451,Głusk,20.56220,52.40357
30735,Trzebieradz,14.96030,54.02154
30822,Józefowo,19.79801,54.38758
31002,Sieciechów,19.38377,52.25081
31269,Plewki,22.58726,54.12426
31982,Rutki Nowe,22.78423,53.84578
32615,Wilczyca,19.05675,51.84860
32764,Raków,19.71163,51.44774
33457,Wólka Dańkowska,20.72039,51.74369
33587,Liszna,22.24434,49.58698
33616,Hosznia Ordynacka,22.76212,50.74321
34304,Zagórze,15.87190,52.89487
